name,monomer,dp,mw
styrene_DP10,styrene,10,104.15199999999997
styrene_DP20,styrene,20,104.15199999999997
styrene_DP50,styrene,50,104.15199999999997
styrene_DP100,styrene,100,104.15199999999997
ethylene_DP10,ethylene,10,28.053999999999995
ethylene_DP20,ethylene,20,28.053999999999995
ethylene_DP50,ethylene,50,28.053999999999995
ethylene_DP100,ethylene,100,28.053999999999995
methyl_acrylate_DP10,methyl_acrylate,10,86.08999999999999
methyl_acrylate_DP20,methyl_acrylate,20,86.08999999999999
methyl_acrylate_DP50,methyl_acrylate,50,86.08999999999999
methyl_acrylate_DP100,methyl_acrylate,100,86.08999999999999
vinyl_acetate_DP10,vinyl_acetate,10,86.08999999999999
vinyl_acetate_DP20,vinyl_acetate,20,86.08999999999999
vinyl_acetate_DP50,vinyl_acetate,50,86.08999999999999
vinyl_acetate_DP100,vinyl_acetate,100,86.08999999999999
propylene_DP10,propylene,10,42.080999999999996
propylene_DP20,propylene,20,42.080999999999996
propylene_DP50,propylene,50,42.080999999999996
propylene_DP100,propylene,100,42.080999999999996
vinyl_chloride_DP10,vinyl_chloride,10,62.498999999999995
vinyl_chloride_DP20,vinyl_chloride,20,62.498999999999995
vinyl_chloride_DP50,vinyl_chloride,50,62.498999999999995
vinyl_chloride_DP100,vinyl_chloride,100,62.498999999999995
